ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
plru_basic,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
lru,627.cam4_s-573B.champsimtrace.xz,1.33377,182112,100031,82081
plru_basic,623.xalancbmk_s-700B.champsimtrace.xz,0.611176,244567,165026,79541
plru_basic,654.roms_s-842B.champsimtrace.xz,1.02638,10760,912,9848
plru_basic,605.mcf_s-665B.champsimtrace.xz,0.362399,1454957,794841,660116
ship,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
srrip,602.gcc_s-734B.champsimtrace.xz,0.479162,409773,3007,406766
srrip,603.bwaves_s-3699B.champsimtrace.xz,1.20612,92889,29023,63866
plru_basic,620.omnetpp_s-874B.champsimtrace.xz,0.33685,913162,439255,473907
srrip,620.omnetpp_s-874B.champsimtrace.xz,0.338912,912944,442404,470540
drrip,648.exchange2_s-1699B.champsimtrace.xz,1.32645,1010,0,1010
lru,600.perlbench_s-210B.champsimtrace.xz,1.34853,2728,0,2728
lru,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
plru_tree,607.cactuBSSN_s-2421B.champsimtrace.xz,1.20064,297140,165959,131181
promocion,649.fotonik3d_s-1176B.champsimtrace.xz,0.632121,877480,25386,852094
plru_basic,600.perlbench_s-210B.champsimtrace.xz,1.34853,2728,0,2728
srrip,623.xalancbmk_s-700B.champsimtrace.xz,0.611086,244925,155159,89766
promocion,619.lbm_s-4268B.champsimtrace.xz,0.41889,4158164,139417,4018747
plru_basic,602.gcc_s-734B.champsimtrace.xz,0.479701,409789,2923,406866
lru,619.lbm_s-4268B.champsimtrace.xz,0.408566,4158165,1805163,2353002
drrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.619032,877640,431726,445914
promocion,644.nab_s-5853B.champsimtrace.xz,1.19658,9925,237,9688
plru_tree,648.exchange2_s-1699B.champsimtrace.xz,1.32661,1010,0,1010
plru_basic,648.exchange2_s-1699B.champsimtrace.xz,1.32661,1010,0,1010
drrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.1956,297245,163503,133742
ship,627.cam4_s-573B.champsimtrace.xz,1.3367,182565,76312,106253
drrip,603.bwaves_s-3699B.champsimtrace.xz,1.20343,92837,37897,54940
drrip,628.pop2_s-17B.champsimtrace.xz,1.14112,609486,454206,155280
