ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
promocion,628.pop2_s-17B.champsimtrace.xz,1.09106,590303,388180,202123
plru_tree,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
srrip,628.pop2_s-17B.champsimtrace.xz,1.14869,590310,437949,152361
drrip,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
ship,625.x264_s-18B.champsimtrace.xz,1.52308,16815,312,16503
ship,628.pop2_s-17B.champsimtrace.xz,1.14965,609487,437268,172219
srrip,644.nab_s-5853B.champsimtrace.xz,1.19658,9925,237,9688
promocion,607.cactuBSSN_s-2421B.champsimtrace.xz,1.12285,297142,91968,205174
ship,603.bwaves_s-3699B.champsimtrace.xz,1.20641,92837,30025,62812
lru,657.xz_s-2302B.champsimtrace.xz,0.79039,279363,194836,84527
ship,623.xalancbmk_s-700B.champsimtrace.xz,0.612878,228375,111384,116991
lru,628.pop2_s-17B.champsimtrace.xz,1.1488,590311,439167,151144
plru_tree,654.roms_s-842B.champsimtrace.xz,1.02638,10760,912,9848
promocion,602.gcc_s-734B.champsimtrace.xz,0.489066,409773,28392,381381
plru_basic,657.xz_s-3167B.champsimtrace.xz,0.969079,157245,93704,63541
plru_basic,657.xz_s-2302B.champsimtrace.xz,0.786505,278865,190885,87980
lru,620.omnetpp_s-874B.champsimtrace.xz,0.338002,912942,455349,457593
promocion,605.mcf_s-665B.champsimtrace.xz,0.329625,1454964,658623,796341
lru,644.nab_s-5853B.champsimtrace.xz,1.19658,9925,237,9688
srrip,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
plru_tree,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
ship,631.deepsjeng_s-928B.champsimtrace.xz,0.955678,21090,6163,14927
drrip,631.deepsjeng_s-928B.champsimtrace.xz,0.955666,21090,6079,15011
plru_tree,620.omnetpp_s-874B.champsimtrace.xz,0.337682,912943,452580,460363
plru_tree,623.xalancbmk_s-700B.champsimtrace.xz,0.611394,244927,165908,79019
promocion,620.omnetpp_s-874B.champsimtrace.xz,0.331529,912990,200607,712383
plru_basic,628.pop2_s-17B.champsimtrace.xz,1.14229,590553,436180,154373
lru,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
ship,648.exchange2_s-1699B.champsimtrace.xz,1.32645,1010,0,1010
promocion,654.roms_s-842B.champsimtrace.xz,1.02638,10760,912,9848
plru_tree,625.x264_s-18B.champsimtrace.xz,1.52322,16814,311,16503
drrip,625.x264_s-18B.champsimtrace.xz,1.52308,16815,309,16506
lru,657.xz_s-56B.champsimtrace.xz,1.66479,20920,0,20920
ship,657.xz_s-2302B.champsimtrace.xz,0.795359,279973,192014,87959
ship,619.lbm_s-4268B.champsimtrace.xz,0.405894,4158875,73837,4085038
lru,657.xz_s-3167B.champsimtrace.xz,0.971827,157299,95595,61704
drrip,641.leela_s-800B.champsimtrace.xz,0.754393,2739,83,2656
srrip,657.xz_s-2302B.champsimtrace.xz,0.788573,279363,186561,92802
lru,623.xalancbmk_s-700B.champsimtrace.xz,0.611358,244927,165225,79702
promocion,627.cam4_s-573B.champsimtrace.xz,1.33397,182112,6405,175707
drrip,654.roms_s-842B.champsimtrace.xz,1.02636,11338,1471,9867
drrip,657.xz_s-2302B.champsimtrace.xz,0.788794,279973,194141,85832
lru,605.mcf_s-665B.champsimtrace.xz,0.369442,1454960,822259,632701
plru_tree,628.pop2_s-17B.champsimtrace.xz,1.14543,590310,437904,152406
drrip,657.xz_s-56B.champsimtrace.xz,1.66487,20920,0,20920
plru_basic,607.cactuBSSN_s-2421B.champsimtrace.xz,1.19844,299187,167537,131650
plru_tree,603.bwaves_s-3699B.champsimtrace.xz,1.20368,92889,38516,54373
plru_tree,619.lbm_s-4268B.champsimtrace.xz,0.407408,4158166,1805165,2353001
plru_tree,641.leela_s-800B.champsimtrace.xz,0.754415,2738,88,2650
srrip,657.xz_s-56B.champsimtrace.xz,1.66479,20920,0,20920
plru_tree,644.nab_s-5853B.champsimtrace.xz,1.19658,9925,237,9688
promocion,657.xz_s-2302B.champsimtrace.xz,0.782187,279363,163829,115534
ship,600.perlbench_s-210B.champsimtrace.xz,1.34862,2729,1,2728
lru,625.x264_s-18B.champsimtrace.xz,1.52322,16814,311,16503
plru_tree,657.xz_s-56B.champsimtrace.xz,1.66479,20920,0,20920
ship,654.roms_s-842B.champsimtrace.xz,1.02636,11338,1490,9848
ship,641.leela_s-800B.champsimtrace.xz,0.754405,2739,89,2650
ship,602.gcc_s-734B.champsimtrace.xz,0.489926,409771,28781,380990
drrip,619.lbm_s-4268B.champsimtrace.xz,0.400876,4158876,1379681,2779195
plru_tree,602.gcc_s-734B.champsimtrace.xz,0.479073,409773,3001,406772
ship,607.cactuBSSN_s-2421B.champsimtrace.xz,1.19597,297243,149804,147439
ship,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
promocion,603.bwaves_s-3699B.champsimtrace.xz,1.20557,92889,23662,69227
plru_tree,605.mcf_s-665B.champsimtrace.xz,0.367441,1454968,814614,640354
srrip,625.x264_s-18B.champsimtrace.xz,1.52322,16814,311,16503
promocion,657.xz_s-3167B.champsimtrace.xz,0.963771,157299,76055,81244
srrip,605.mcf_s-665B.champsimtrace.xz,0.379526,1454960,859041,595919
ship,620.omnetpp_s-874B.champsimtrace.xz,0.341625,914543,374542,540001
srrip,619.lbm_s-4268B.champsimtrace.xz,0.391337,4158154,1390899,2767255
plru_basic,631.deepsjeng_s-928B.champsimtrace.xz,0.95556,21043,6108,14935
plru_tree,657.xz_s-4994B.champsimtrace.xz,1.21794,9514,866,8648
plru_basic,657.xz_s-56B.champsimtrace.xz,1.66479,20920,0,20920
srrip,648.exchange2_s-1699B.champsimtrace.xz,1.32661,1010,0,1010
plru_tree,600.perlbench_s-210B.champsimtrace.xz,1.34853,2728,0,2728
srrip,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
lru,648.exchange2_s-1699B.champsimtrace.xz,1.32661,1010,0,1010
promocion,641.leela_s-800B.champsimtrace.xz,0.754415,2738,88,2650
ship,649.fotonik3d_s-1176B.champsimtrace.xz,0.633573,877640,27858,849782
srrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.636104,877480,341624,535856
plru_basic,625.x264_s-18B.champsimtrace.xz,1.52322,16814,311,16503
promocion,631.deepsjeng_s-928B.champsimtrace.xz,0.955546,21043,6109,14934
plru_basic,603.bwaves_s-3699B.champsimtrace.xz,1.20356,92866,37920,54946
plru_tree,657.xz_s-2302B.champsimtrace.xz,0.788197,279363,193506,85857
lru,641.leela_s-800B.champsimtrace.xz,0.754415,2738,88,2650
srrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.20098,297140,164417,132723
promocion,600.perlbench_s-210B.champsimtrace.xz,1.34853,2728,0,2728
lru,649.fotonik3d_s-1176B.champsimtrace.xz,0.61879,877480,438405,439075
plru_basic,641.leela_s-800B.champsimtrace.xz,0.754415,2738,88,2650
plru_tree,631.deepsjeng_s-928B.champsimtrace.xz,0.955538,21043,6115,14928
plru_basic,619.lbm_s-4268B.champsimtrace.xz,0.386595,4171747,1765400,2406347
promocion,621.wrf_s-575B.champsimtrace.xz,1.0801,1737,0,1737
drrip,644.nab_s-5853B.champsimtrace.xz,1.1966,9946,254,9692
drrip,605.mcf_s-665B.champsimtrace.xz,0.377495,1456128,853902,602226
plru_basic,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
ship,657.xz_s-56B.champsimtrace.xz,1.66487,20920,0,20920
ship,644.nab_s-5853B.champsimtrace.xz,1.1966,9946,258,9688
plru_basic,657.xz_s-4994B.champsimtrace.xz,1.21794,9514,866,8648
drrip,657.xz_s-3167B.champsimtrace.xz,0.970774,158466,95773,62693
plru_tree,649.fotonik3d_s-1176B.champsimtrace.xz,0.618801,877480,438443,439037
drrip,623.xalancbmk_s-700B.champsimtrace.xz,0.612558,228375,148516,79859
plru_basic,644.nab_s-5853B.champsimtrace.xz,1.19658,9925,237,9688
drrip,657.xz_s-4994B.champsimtrace.xz,1.21787,9543,887,8656
plru_tree,657.xz_s-3167B.champsimtrace.xz,0.970382,157299,94945,62354
promocion,648.exchange2_s-1699B.champsimtrace.xz,1.32661,1010,0,1010
lru,607.cactuBSSN_s-2421B.champsimtrace.xz,1.20126,297140,165985,131155
promocion,657.xz_s-56B.champsimtrace.xz,1.66479,20920,0,20920
srrip,654.roms_s-842B.champsimtrace.xz,1.02638,10760,912,9848
plru_basic,649.fotonik3d_s-1176B.champsimtrace.xz,0.620411,877093,433055,444038
promocion,623.xalancbmk_s-700B.champsimtrace.xz,0.611874,244928,149490,95438
srrip,641.leela_s-800B.champsimtrace.xz,0.754415,2738,88,2650
plru_tree,627.cam4_s-573B.champsimtrace.xz,1.33329,182112,99806,82306
srrip,657.xz_s-4994B.champsimtrace.xz,1.21794,9514,866,8648
lru,602.gcc_s-734B.champsimtrace.xz,0.479071,409773,2998,406775
srrip,627.cam4_s-573B.champsimtrace.xz,1.34029,182112,76667,105445
promocion,625.x264_s-18B.champsimtrace.xz,1.52322,16814,311,16503
drrip,620.omnetpp_s-874B.champsimtrace.xz,0.33851,914468,453164,461304
lru,654.roms_s-842B.champsimtrace.xz,1.02638,10760,912,9848
ship,657.xz_s-3167B.champsimtrace.xz,0.971995,158466,91890,66576
promocion,657.xz_s-4994B.champsimtrace.xz,1.21794,9514,866,8648
drrip,627.cam4_s-573B.champsimtrace.xz,1.3336,182565,98661,83904
lru,657.xz_s-4994B.champsimtrace.xz,1.21794,9514,866,8648
ship,605.mcf_s-665B.champsimtrace.xz,0.401295,1456142,916822,539320
srrip,631.deepsjeng_s-928B.champsimtrace.xz,0.955549,21043,6115,14928
ship,657.xz_s-4994B.champsimtrace.xz,1.21787,9543,895,8648
promocion,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
srrip,657.xz_s-3167B.champsimtrace.xz,0.969885,157299,90151,67148
lru,603.bwaves_s-3699B.champsimtrace.xz,1.20364,92889,38516,54373
drrip,638.imagick_s-10316B.champsimtrace.xz,2.36732,1953,0,1953
plru_basic,627.cam4_s-573B.champsimtrace.xz,1.32605,182587,97576,85011
lru,631.deepsjeng_s-928B.champsimtrace.xz,0.95554,21043,6115,14928
srrip,600.perlbench_s-210B.champsimtrace.xz,1.34853,2728,0,2728
drrip,602.gcc_s-734B.champsimtrace.xz,0.478897,409771,3055,406716
drrip,600.perlbench_s-210B.champsimtrace.xz,1.34862,2729,1,2728
