ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
drrip,654.roms_s-842B.champsimtrace.xz,1.0185,20156,3861,16295
drrip,657.xz_s-2302B.champsimtrace.xz,0.791434,569703,402368,167335
lru,605.mcf_s-665B.champsimtrace.xz,0.369333,2840346,1608564,1231782
plru_tree,628.pop2_s-17B.champsimtrace.xz,1.17035,1055717,727834,327883
drrip,657.xz_s-56B.champsimtrace.xz,1.66483,41840,0,41840
plru_basic,607.cactuBSSN_s-2421B.champsimtrace.xz,1.18027,840823,321777,519046
plru_tree,603.bwaves_s-3699B.champsimtrace.xz,1.19656,96304,40081,56223
plru_tree,619.lbm_s-4268B.champsimtrace.xz,0.403536,8361686,3635787,4725899
plru_tree,641.leela_s-800B.champsimtrace.xz,0.756168,3348,277,3071
srrip,657.xz_s-56B.champsimtrace.xz,1.66479,41840,0,41840
plru_tree,644.nab_s-5853B.champsimtrace.xz,1.19644,20247,994,19253
promocion,657.xz_s-2302B.champsimtrace.xz,0.779001,567068,315147,251921
ship,600.perlbench_s-210B.champsimtrace.xz,1.40456,4407,16,4391
lru,625.x264_s-18B.champsimtrace.xz,1.52667,31625,1527,30098
plru_tree,657.xz_s-56B.champsimtrace.xz,1.66479,41840,0,41840
ship,654.roms_s-842B.champsimtrace.xz,1.01824,19616,3413,16203
ship,641.leela_s-800B.champsimtrace.xz,0.756178,3268,197,3071
ship,602.gcc_s-734B.champsimtrace.xz,0.456899,970114,109204,860910
drrip,619.lbm_s-4268B.champsimtrace.xz,0.394029,8364437,3425694,4938743
plru_tree,602.gcc_s-734B.champsimtrace.xz,0.439192,969966,17880,952086
ship,607.cactuBSSN_s-2421B.champsimtrace.xz,1.19624,845676,274598,571078
ship,621.wrf_s-575B.champsimtrace.xz,1.08438,3152,0,3152
promocion,603.bwaves_s-3699B.champsimtrace.xz,1.19747,96304,23662,72642
plru_tree,605.mcf_s-665B.champsimtrace.xz,0.367394,2840352,1593713,1246639
srrip,625.x264_s-18B.champsimtrace.xz,1.52669,31625,1527,30098
promocion,657.xz_s-3167B.champsimtrace.xz,0.99946,287714,129970,157744
srrip,605.mcf_s-665B.champsimtrace.xz,0.379378,2840354,1680787,1159567
ship,620.omnetpp_s-874B.champsimtrace.xz,0.340377,1826264,735548,1090716
srrip,619.lbm_s-4268B.champsimtrace.xz,0.386592,8361685,2826372,5535313
plru_basic,631.deepsjeng_s-928B.champsimtrace.xz,0.962973,44863,16301,28562
plru_tree,657.xz_s-4994B.champsimtrace.xz,1.21719,25531,7905,17626
plru_basic,657.xz_s-56B.champsimtrace.xz,1.66479,41840,0,41840
srrip,648.exchange2_s-1699B.champsimtrace.xz,1.31072,1010,0,1010
plru_tree,600.perlbench_s-210B.champsimtrace.xz,1.40447,4411,20,4391
srrip,638.imagick_s-10316B.champsimtrace.xz,2.36791,3906,0,3906
lru,648.exchange2_s-1699B.champsimtrace.xz,1.31072,1010,0,1010
promocion,641.leela_s-800B.champsimtrace.xz,0.756168,3348,277,3071
ship,649.fotonik3d_s-1176B.champsimtrace.xz,0.629303,1753911,29215,1724696
srrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.63052,1755039,682858,1072181
plru_basic,625.x264_s-18B.champsimtrace.xz,1.5274,31624,1846,29778
promocion,631.deepsjeng_s-928B.champsimtrace.xz,0.963366,44814,15644,29170
plru_basic,603.bwaves_s-3699B.champsimtrace.xz,1.19649,96280,39483,56797
plru_tree,657.xz_s-2302B.champsimtrace.xz,0.7897,567068,396980,170088
lru,641.leela_s-800B.champsimtrace.xz,0.756168,3348,277,3071
srrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.18376,835881,319200,516681
promocion,600.perlbench_s-210B.champsimtrace.xz,1.40447,4411,20,4391
lru,649.fotonik3d_s-1176B.champsimtrace.xz,0.613028,1755039,876727,878312
plru_basic,641.leela_s-800B.champsimtrace.xz,0.756168,3348,277,3071
plru_tree,631.deepsjeng_s-928B.champsimtrace.xz,0.962991,44814,16385,28429
plru_basic,619.lbm_s-4268B.champsimtrace.xz,0.381527,8392532,3559108,4833424
promocion,621.wrf_s-575B.champsimtrace.xz,1.08438,3152,0,3152
drrip,644.nab_s-5853B.champsimtrace.xz,1.19639,20212,945,19267
drrip,605.mcf_s-665B.champsimtrace.xz,0.378441,2834939,1668971,1165968
plru_basic,638.imagick_s-10316B.champsimtrace.xz,2.36791,3906,0,3906
ship,657.xz_s-56B.champsimtrace.xz,1.66481,41840,0,41840
ship,644.nab_s-5853B.champsimtrace.xz,1.19644,20254,1002,19252
plru_basic,657.xz_s-4994B.champsimtrace.xz,1.21719,25531,7905,17626
drrip,657.xz_s-3167B.champsimtrace.xz,1.00967,288485,180237,108248
plru_tree,649.fotonik3d_s-1176B.champsimtrace.xz,0.613033,1755039,876765,878274
drrip,623.xalancbmk_s-700B.champsimtrace.xz,0.593906,381481,277724,103757
plru_basic,644.nab_s-5853B.champsimtrace.xz,1.19641,20247,995,19252
drrip,657.xz_s-4994B.champsimtrace.xz,1.21726,25525,7789,17736
plru_tree,657.xz_s-3167B.champsimtrace.xz,1.00819,287712,178878,108834
promocion,648.exchange2_s-1699B.champsimtrace.xz,1.31072,1010,0,1010
lru,607.cactuBSSN_s-2421B.champsimtrace.xz,1.19844,835884,323181,512703
promocion,657.xz_s-56B.champsimtrace.xz,1.66479,41840,0,41840
srrip,654.roms_s-842B.champsimtrace.xz,1.01807,19498,3295,16203
plru_basic,649.fotonik3d_s-1176B.champsimtrace.xz,0.614545,1754761,865705,889056
promocion,623.xalancbmk_s-700B.champsimtrace.xz,0.591956,428510,297636,130874
srrip,641.leela_s-800B.champsimtrace.xz,0.756168,3348,277,3071
plru_tree,627.cam4_s-573B.champsimtrace.xz,1.13449,615171,320596,294575
srrip,657.xz_s-4994B.champsimtrace.xz,1.21719,25531,7905,17626
lru,602.gcc_s-734B.champsimtrace.xz,0.439187,969966,17888,952078
srrip,627.cam4_s-573B.champsimtrace.xz,1.1351,615191,250493,364698
promocion,625.x264_s-18B.champsimtrace.xz,1.52755,31625,1864,29761
