ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
plru_basic,621.wrf_s-575B.champsimtrace.xz,1.07954,773,0,773
lru,627.cam4_s-573B.champsimtrace.xz,0.961701,156770,83173,73597
plru_basic,623.xalancbmk_s-700B.champsimtrace.xz,0.672562,42274,27492,14782
plru_basic,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
plru_basic,605.mcf_s-665B.champsimtrace.xz,0.361463,292255,157070,135185
ship,638.imagick_s-10316B.champsimtrace.xz,2.36684,391,0,391
srrip,602.gcc_s-734B.champsimtrace.xz,0.483099,81032,347,80685
srrip,603.bwaves_s-3699B.champsimtrace.xz,1.19276,105,0,105
plru_basic,620.omnetpp_s-874B.champsimtrace.xz,0.342637,175793,81883,93910
srrip,620.omnetpp_s-874B.champsimtrace.xz,0.345725,175765,82136,93629
drrip,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
lru,600.perlbench_s-210B.champsimtrace.xz,1.26336,1127,0,1127
lru,638.imagick_s-10316B.champsimtrace.xz,2.36698,391,0,391
plru_tree,607.cactuBSSN_s-2421B.champsimtrace.xz,1.2236,55258,28790,26468
promocion,649.fotonik3d_s-1176B.champsimtrace.xz,0.68721,175561,24873,150688
plru_basic,600.perlbench_s-210B.champsimtrace.xz,1.26336,1127,0,1127
srrip,623.xalancbmk_s-700B.champsimtrace.xz,0.672572,42252,27470,14782
promocion,619.lbm_s-4268B.champsimtrace.xz,0.462291,822708,31327,791381
plru_basic,602.gcc_s-734B.champsimtrace.xz,0.48283,81034,337,80697
lru,619.lbm_s-4268B.champsimtrace.xz,0.443006,822707,353174,469533
drrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.669505,175495,86345,89150
promocion,644.nab_s-5853B.champsimtrace.xz,1.1883,2268,0,2268
plru_tree,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
plru_basic,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
drrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.21629,55219,28292,26927
ship,627.cam4_s-573B.champsimtrace.xz,0.970735,156789,56953,99836
drrip,603.bwaves_s-3699B.champsimtrace.xz,1.19277,105,0,105
drrip,628.pop2_s-17B.champsimtrace.xz,1.15176,119649,87841,31808
promocion,628.pop2_s-17B.champsimtrace.xz,1.1463,118779,85505,33274
plru_tree,638.imagick_s-10316B.champsimtrace.xz,2.36698,391,0,391
srrip,628.pop2_s-17B.champsimtrace.xz,1.1714,118780,87827,30953
drrip,621.wrf_s-575B.champsimtrace.xz,1.07946,773,0,773
ship,625.x264_s-18B.champsimtrace.xz,1.51562,3925,0,3925
ship,628.pop2_s-17B.champsimtrace.xz,1.16191,119206,87156,32050
srrip,644.nab_s-5853B.champsimtrace.xz,1.1883,2268,0,2268
promocion,607.cactuBSSN_s-2421B.champsimtrace.xz,1.22353,55260,28582,26678
ship,603.bwaves_s-3699B.champsimtrace.xz,1.19272,105,0,105
lru,657.xz_s-2302B.champsimtrace.xz,0.761859,54131,31752,22379
ship,623.xalancbmk_s-700B.champsimtrace.xz,0.673682,40706,25920,14786
lru,628.pop2_s-17B.champsimtrace.xz,1.16259,118780,88086,30694
plru_tree,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
promocion,602.gcc_s-734B.champsimtrace.xz,0.482593,81032,102,80930
plru_basic,657.xz_s-3167B.champsimtrace.xz,0.973295,27044,10859,16185
plru_basic,657.xz_s-2302B.champsimtrace.xz,0.761732,54130,31692,22438
lru,620.omnetpp_s-874B.champsimtrace.xz,0.343293,175764,84539,91225
promocion,605.mcf_s-665B.champsimtrace.xz,0.34147,292364,141163,151201
lru,644.nab_s-5853B.champsimtrace.xz,1.1883,2268,0,2268
srrip,621.wrf_s-575B.champsimtrace.xz,1.07954,773,0,773
plru_tree,621.wrf_s-575B.champsimtrace.xz,1.07954,773,0,773
ship,631.deepsjeng_s-928B.champsimtrace.xz,0.953633,3193,14,3179
drrip,631.deepsjeng_s-928B.champsimtrace.xz,0.953756,3202,23,3179
plru_tree,620.omnetpp_s-874B.champsimtrace.xz,0.342939,175760,83902,91858
plru_tree,623.xalancbmk_s-700B.champsimtrace.xz,0.67258,42252,27472,14780
promocion,620.omnetpp_s-874B.champsimtrace.xz,0.341946,175780,50047,125733
plru_basic,628.pop2_s-17B.champsimtrace.xz,1.15928,118644,87598,31046
lru,621.wrf_s-575B.champsimtrace.xz,1.07954,773,0,773
ship,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
promocion,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
plru_tree,625.x264_s-18B.champsimtrace.xz,1.51583,3925,0,3925
drrip,625.x264_s-18B.champsimtrace.xz,1.51445,3925,0,3925
lru,657.xz_s-56B.champsimtrace.xz,1.66403,4184,0,4184
ship,657.xz_s-2302B.champsimtrace.xz,0.76158,54379,31972,22407
ship,619.lbm_s-4268B.champsimtrace.xz,0.437196,823713,2477,821236
lru,657.xz_s-3167B.champsimtrace.xz,0.973311,27044,10861,16183
drrip,641.leela_s-800B.champsimtrace.xz,0.745256,1287,0,1287
srrip,657.xz_s-2302B.champsimtrace.xz,0.762052,54131,31597,22534
lru,623.xalancbmk_s-700B.champsimtrace.xz,0.672583,42252,27473,14779
promocion,627.cam4_s-573B.champsimtrace.xz,0.983245,156770,451,156319
drrip,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
drrip,657.xz_s-2302B.champsimtrace.xz,0.761143,54137,31389,22748
lru,605.mcf_s-665B.champsimtrace.xz,0.368053,292358,162447,129911
plru_tree,628.pop2_s-17B.champsimtrace.xz,1.15913,118780,87870,30910
drrip,657.xz_s-56B.champsimtrace.xz,1.66479,4184,0,4184
plru_basic,607.cactuBSSN_s-2421B.champsimtrace.xz,1.22395,55809,29410,26399
plru_tree,603.bwaves_s-3699B.champsimtrace.xz,1.19276,105,0,105
plru_tree,619.lbm_s-4268B.champsimtrace.xz,0.442317,822705,353175,469530
plru_tree,641.leela_s-800B.champsimtrace.xz,0.745278,1291,4,1287
srrip,657.xz_s-56B.champsimtrace.xz,1.66403,4184,0,4184
plru_tree,644.nab_s-5853B.champsimtrace.xz,1.1883,2268,0,2268
promocion,657.xz_s-2302B.champsimtrace.xz,0.762112,54131,31480,22651
ship,600.perlbench_s-210B.champsimtrace.xz,1.26259,1127,0,1127
lru,625.x264_s-18B.champsimtrace.xz,1.51583,3925,0,3925
plru_tree,657.xz_s-56B.champsimtrace.xz,1.66403,4184,0,4184
ship,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
ship,641.leela_s-800B.champsimtrace.xz,0.745246,1289,2,1287
ship,602.gcc_s-734B.champsimtrace.xz,0.483929,81029,173,80856
drrip,619.lbm_s-4268B.champsimtrace.xz,0.431728,824321,349298,475023
plru_tree,602.gcc_s-734B.champsimtrace.xz,0.482698,81032,351,80681
ship,607.cactuBSSN_s-2421B.champsimtrace.xz,1.22667,56520,30091,26429
ship,621.wrf_s-575B.champsimtrace.xz,1.07945,773,0,773
promocion,603.bwaves_s-3699B.champsimtrace.xz,1.19276,105,0,105
plru_tree,605.mcf_s-665B.champsimtrace.xz,0.365905,292355,160750,131605
srrip,625.x264_s-18B.champsimtrace.xz,1.51583,3925,0,3925
promocion,657.xz_s-3167B.champsimtrace.xz,0.973282,27044,10844,16200
srrip,605.mcf_s-665B.champsimtrace.xz,0.37481,292359,167509,124850
ship,620.omnetpp_s-874B.champsimtrace.xz,0.347742,176234,72248,103986
srrip,619.lbm_s-4268B.champsimtrace.xz,0.423754,822702,260897,561805
plru_basic,631.deepsjeng_s-928B.champsimtrace.xz,0.953953,3204,25,3179
plru_tree,657.xz_s-4994B.champsimtrace.xz,1.22942,1503,0,1503
plru_basic,657.xz_s-56B.champsimtrace.xz,1.66403,4184,0,4184
srrip,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
plru_tree,600.perlbench_s-210B.champsimtrace.xz,1.26336,1127,0,1127
srrip,638.imagick_s-10316B.champsimtrace.xz,2.36698,391,0,391
lru,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
promocion,641.leela_s-800B.champsimtrace.xz,0.745278,1291,4,1287
ship,649.fotonik3d_s-1176B.champsimtrace.xz,0.695137,175699,28457,147242
srrip,649.fotonik3d_s-1176B.champsimtrace.xz,0.685635,175561,70634,104927
plru_basic,625.x264_s-18B.champsimtrace.xz,1.51583,3925,0,3925
promocion,631.deepsjeng_s-928B.champsimtrace.xz,0.953953,3204,25,3179
plru_basic,603.bwaves_s-3699B.champsimtrace.xz,1.19276,105,0,105
plru_tree,657.xz_s-2302B.champsimtrace.xz,0.761856,54131,31744,22387
lru,641.leela_s-800B.champsimtrace.xz,0.745278,1291,4,1287
srrip,607.cactuBSSN_s-2421B.champsimtrace.xz,1.22717,55258,28736,26522
promocion,600.perlbench_s-210B.champsimtrace.xz,1.26336,1127,0,1127
lru,649.fotonik3d_s-1176B.champsimtrace.xz,0.66889,175561,87666,87895
plru_basic,641.leela_s-800B.champsimtrace.xz,0.745278,1291,4,1287
plru_tree,631.deepsjeng_s-928B.champsimtrace.xz,0.953953,3204,25,3179
plru_basic,619.lbm_s-4268B.champsimtrace.xz,0.417273,821725,341963,479762
promocion,621.wrf_s-575B.champsimtrace.xz,1.07954,773,0,773
drrip,644.nab_s-5853B.champsimtrace.xz,1.18808,2268,0,2268
drrip,605.mcf_s-665B.champsimtrace.xz,0.371081,292958,165655,127303
plru_basic,638.imagick_s-10316B.champsimtrace.xz,2.36698,391,0,391
ship,657.xz_s-56B.champsimtrace.xz,1.66479,4184,0,4184
ship,644.nab_s-5853B.champsimtrace.xz,1.18843,2268,0,2268
plru_basic,657.xz_s-4994B.champsimtrace.xz,1.22942,1503,0,1503
drrip,657.xz_s-3167B.champsimtrace.xz,0.973478,27126,10824,16302
plru_tree,649.fotonik3d_s-1176B.champsimtrace.xz,0.668949,175561,87704,87857
drrip,623.xalancbmk_s-700B.champsimtrace.xz,0.674039,39011,23992,15019
plru_basic,644.nab_s-5853B.champsimtrace.xz,1.1883,2268,0,2268
drrip,657.xz_s-4994B.champsimtrace.xz,1.22945,1503,0,1503
plru_tree,657.xz_s-3167B.champsimtrace.xz,0.973272,27044,10858,16186
promocion,648.exchange2_s-1699B.champsimtrace.xz,1.35795,60,0,60
lru,607.cactuBSSN_s-2421B.champsimtrace.xz,1.22459,55258,28750,26508
promocion,657.xz_s-56B.champsimtrace.xz,1.66403,4184,0,4184
srrip,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
plru_basic,649.fotonik3d_s-1176B.champsimtrace.xz,0.670935,175407,86606,88801
promocion,623.xalancbmk_s-700B.champsimtrace.xz,0.672575,42252,27470,14782
srrip,641.leela_s-800B.champsimtrace.xz,0.745278,1291,4,1287
