ALGORITMO,TRAZA,IPC,ACCESOS,ACIERTOS,FALLOS
plru_tree,627.cam4_s-573B.champsimtrace.xz,0.961821,156770,83170,73600
srrip,657.xz_s-4994B.champsimtrace.xz,1.22942,1503,0,1503
lru,602.gcc_s-734B.champsimtrace.xz,0.482677,81032,348,80684
srrip,627.cam4_s-573B.champsimtrace.xz,0.977242,156770,60863,95907
promocion,625.x264_s-18B.champsimtrace.xz,1.51583,3925,0,3925
drrip,620.omnetpp_s-874B.champsimtrace.xz,0.34391,175899,83922,91977
lru,654.roms_s-842B.champsimtrace.xz,0.994796,603,0,603
ship,657.xz_s-3167B.champsimtrace.xz,0.973271,27342,11159,16183
promocion,657.xz_s-4994B.champsimtrace.xz,1.22942,1503,0,1503
drrip,627.cam4_s-573B.champsimtrace.xz,0.962056,156880,82127,74753
lru,657.xz_s-4994B.champsimtrace.xz,1.22942,1503,0,1503
ship,605.mcf_s-665B.champsimtrace.xz,0.387273,293133,175754,117379
srrip,631.deepsjeng_s-928B.champsimtrace.xz,0.953953,3204,25,3179
ship,657.xz_s-4994B.champsimtrace.xz,1.22929,1503,0,1503
promocion,638.imagick_s-10316B.champsimtrace.xz,2.36698,391,0,391
srrip,657.xz_s-3167B.champsimtrace.xz,0.973311,27044,10860,16184
lru,603.bwaves_s-3699B.champsimtrace.xz,1.19276,105,0,105
drrip,638.imagick_s-10316B.champsimtrace.xz,2.36684,391,0,391
plru_basic,627.cam4_s-573B.champsimtrace.xz,0.943038,156798,80618,76180
lru,631.deepsjeng_s-928B.champsimtrace.xz,0.953953,3204,25,3179
srrip,600.perlbench_s-210B.champsimtrace.xz,1.26336,1127,0,1127
drrip,602.gcc_s-734B.champsimtrace.xz,0.483178,81029,345,80684
drrip,600.perlbench_s-210B.champsimtrace.xz,1.26221,1127,0,1127
